02,1339,LC,70277,148470,I07,B20,OC,300,08104201
03,1346,PO,70243,148184,I03,B20,OC,500,08104201
04,1354,PO,70390,148175,I02,B20,OC,500,08104201
05,1355,SI,70390,148115,I01,B20,OC,400,32,RS,001,BO,DV,08104201
06,1357,PO,70390,147485,I00,B07,OC,250,08104201
07,1405,PO,70200,147515,I00,B15,OC,400,08104201
08,1426,PO,70124,147071,I02,B20,OC,500,08104201
09,1430,SI,70373,147146,I01,B20,OC,400,BH,001,BO,SW,08104201
10,1433,SD,70383,147100,I00,B20,OC,500,08104201
11,1442,SI,70374,147144,I00,B20,OC,500,BH,002,BO,SW,08104201
12,1445,PO,70390,147232,I00,B20,OC,500,08104201
13,1454,PO,70390,146470,I00,B20,OC,500,08104201
14,1459,SI,70167,146470,I01,B20,OC,500,30,RS,001,BO,OI,08104201
15,1510,PO,70124,146470,I02,B20,OC,500,08104201
23,1625,SI,70409,147072,I00,B20,OC,500,BH,002,BO,CO,08104202
24,1626,SI,70395,147105,I00,B20,OC,500,20,BH,001,BO,SW,08104202
25,1656,LD,2,70119,148280,I00,B10,OC,0000,08104202
01,1413,LA,1R,70119,148280,B10,OC,11104301
02,1433,SI,70328,147360,I02,B20,OC,450,40,BH,001,SW,11104301
03,1435,SD,70290,147340,I01,B20,OC,500,11104301
04,1458,SI,70260,147300,I00,B20,OC,380,BH,006,SW,11104301
05,1507,SI,70335,147180,I01,B20,OC,1000,BH,003,SW,11104301
06,1655,SI,71100,153200,I05,B20,OC,300,11,BH,005,SW,11104301
07,1755,LD,2,71200,156350,I05,B10,OC,0000,11104301
01,1040,LA,1R,70119,148280,B10,OC,13104401
02,1058,PO,70340,149400,I08,B10,OC,900,13104401
03,1109,PO,70390,148433,I08,B15,OC,600,13104401
04,1115,PO,70277,148365,I08,B12,OC,600,13104401
05,1120,PO,70243,148148,I07,B10,OC,600,13104401
06,1129,PO,70390,148162,I06,B10,OC,600,13104401
07,1134,SD,70371,147505,I04,B10,OC,600,13104401
08,1200,SI,70390,147432,I04,B10,OC,600,RS,001,BO,OI,13104401
09,1210,SI,70200,147450,I03,B10,OC,500,13104401
10,1217,SI,70124,147199,I02,B10,OC,500,13104401
11,1230,SD,70311,147157,I04,B10,OC,600,13104401
12,1244,SI,70323,147195,I01,B10,OC,600,BH,002,BO,SW,13104401
13,1317,PO,70390,147150,I03,B10,OC,600,13104401
14,1324,PO,70390,146386,I06,B10,OC,600,13104401
